MC,Reactants,Reagents,Products,uspto_split
Boc_deprotection,CC(C)(C)OC(=O)NCCC(=O)Nc1cccc(-c2cc(-c3ccccc3O)nc(NC(=O)c3ccccc3)c2C#N)c1,[H+],N#Cc1c(-c2cccc(NC(=O)CCN)c2)cc(-c2ccccc2O)nc1NC(=O)c1ccccc1,train
DCC_condensation,CCCCn1c(N)c(N)c(=O)[nH]c1=O.CC(=O)O,C(=NC1CCCCC1)=NC1CCCCC1,CCCCn1c(N)c(NC(C)=O)c(=O)[nH]c1=O,train
O_demethylation,COc1ccc(S(=O)(=O)N2c3ccccc3-c3ccccc3C2C)cc1,BrB(Br)Br.O,CC1c2ccccc2-c2ccccc2N1S(=O)(=O)c1ccc(O)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,O=C(Cl)c1ccc2ccccc2c1.COC(=O)CN,,COC(=O)CNC(=O)c1ccc2ccccc2c1,train
DCC_condensation,O=C(O)c1ccncc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1.FC1(F)CCNC1,C(=NC1CCCCC1)=NC1CCCCC1,O=C(Nc1cnccc1C(=O)N1CCC(F)(F)C1)c1nc(C2CC2)ccc1Nc1cncnc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C(=O)Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CNc1cnc(Cl)cc1-c1cccnc1C,,Cc1ncccc1-c1cc(Cl)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,train
Boc_deprotection,Cc1cc(C)cc(COC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C)c1,[H+],Cc1cc(C)cc(COC(=O)C(N)Cc2c[nH]c3ccccc23)c1,train
DCC_condensation,NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1.O=C(O)c1ccc(O)nc1,C(=NC1CCCCC1)=NC1CCCCC1,O=C(NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1)c1ccc(O)nc1,train
SN2,COC(=O)C(C)(C)Oc1ccc(C(=O)CBr)cc1.c1cc(N2CCNCC2)ccn1,,COC(=O)C(C)(C)Oc1ccc(C(=O)CN2CCN(c3ccncc3)CC2)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,NNc1nc(O)nc(-c2ccc(Cl)cc2)n1.CC(=O)OC(C)=O,,CC(=O)NNc1nc(O)nc(-c2ccc(Cl)cc2)n1,train
SN2,CCc1noc(-c2cc3c(cn2)[nH]c2ccc(S(=O)(=O)N(C)C)cc23)n1.ClCCCBr,,CCc1noc(-c2cc3c4cc(S(=O)(=O)N(C)C)ccc4n(CCCCl)c3cn2)n1,train
carbonyl_reduction,CC12CC(CCC1=O)C(C)(C)O2,[BH4-].CO,CC1(C)OC2(C)CC1CCC2O,train
SN2,CCCc1nc2c(C)cc(N3C(=O)c4ccccc4C3=O)cc2[nH]1.COC(=O)c1ccccc1-c1ccc(CBr)cc1,,CCCc1nc2c(C)cc(N3C(=O)c4ccccc4C3=O)cc2n1Cc1ccc(-c2ccccc2C(=O)OC)cc1,train
SN2_alcohol(thiol),Cc1c(O)cc2c(c1C)N(C=O)C(C)C2.C=C(C)CCl,[H-].[Na+],C=C(C)COc1cc2c(c(C)c1C)N(C=O)C(C)C2,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COc1ccc(N2CCOCC2)c2sc(-c3nc4c([nH]3)CCNCC4)nc12.CC(=O)Cl,,COc1ccc(N2CCOCC2)c2sc(-c3nc4c([nH]3)CCN(C(C)=O)CC4)nc12,train
SN2_alcohol(thiol),COc1cc(F)c(C(OC)C(=O)NCc2ccc(C#N)cc2O)c(F)c1.CNC(=O)CCl,[H-].[Na+],CNC(=O)COc1cc(C#N)ccc1CNC(=O)C(OC)c1c(F)cc(OC)cc1F,train
Boc_deprotection,COc1cc(C(Cc2c(Cl)c[n+](O)cc2Cl)OC(=O)C2SCCN2C(=O)OC(C)(C)C)ccc1OC(F)F,[H+],COc1cc(C(Cc2c(Cl)c[n+](O)cc2Cl)OC(=O)C2NCCS2)ccc1OC(F)F,train
DCC_condensation,Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)O)c(C)c1.COC(=O)c1cc(N)cc(C(=O)OC)c1,C(=NC1CCCCC1)=NC1CCCCC1,COC(=O)c1cc(NC(=O)c2cc3ccccc3cc2NC(=O)Nc2c(C)cc(C)cc2C)cc(C(=O)OC)c1,train
DCC_condensation,NCCNC(=O)c1cnn2cc(Cc3ccc(Br)cc3)cnc12.O=CO,C(=NC1CCCCC1)=NC1CCCCC1,O=CNCCNC(=O)c1cnn2cc(Cc3ccc(Br)cc3)cnc12,train
SN2,CC1(C)OB(c2cn[nH]c2)OC1(C)C.CS(=O)(=O)OCC1CCCC1,,CC1(C)OB(c2cnn(CC3CCCC3)c2)OC1(C)C,train
reductive_amination,O=CC(O)C(O)C(O)C(O)CO.CC(O)CN,[H+].[BH3-]C#N.[Na+],CC(O)CNCC(O)C(O)C(O)C(O)CO,train
Swern_oxidation,OCc1cc(Br)cnc1Cl,O=C(Cl)C(=O)Cl.CS(C)=O.CCN(CC)CC,O=Cc1cc(Br)cnc1Cl,train
Boc_deprotection,CCCN(CC1CCN(C(=O)OC(C)(C)C)CC1)C1CCc2ccc([N+](=O)O)cc2C1,[H+],CCCN(CC1CCNCC1)C1CCc2ccc([N+](=O)O)cc2C1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Nc1ccccc1S(=O)(=O)NCCc1ncc[nH]1.CC(C)(C)c1cccc(C(=O)Cl)c1,,CC(C)(C)c1cccc(C(=O)Nc2ccccc2S(=O)(=O)NCCc2ncc[nH]2)c1,train
reductive_amination,CC(C)(C)OC(=O)COc1ccc(CC=O)cc1.CC(N)C(O)c1ccc(O)cc1,[H+].[BH3-]C#N.[Na+],CC(NCCc1ccc(OCC(=O)OC(C)(C)C)cc1)C(O)c1ccc(O)cc1,train
Boc_deprotection,CC(C)(C)OC(=O)Nc1c(Br)ccc(C(F)(F)F)c1F,[H+],Nc1c(Br)ccc(C(F)(F)F)c1F,train
SN2_alcohol(thiol),CCCCCCCCOc1ccnc(CCl)c1C.Sc1nc2ccccc2[nH]1,[H-].[Na+],CCCCCCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,train
DCC_condensation,Nn1cccc1C(=O)c1ccccc1F.CC(C)(C)OC(=O)NCC(=O)O,C(=NC1CCCCC1)=NC1CCCCC1,CC(C)(C)OC(=O)NCC(=O)Nn1cccc1C(=O)c1ccccc1F,train
SN2,CC(C(=O)NC1C(=O)Nc2ccccc2N(C(=O)C2CCOCC2)C1C)N(C)C(=O)OC(C)(C)C.N#Cc1ccccc1-n1nc(CBr)c2ccccc21,,CC(C(=O)NC1C(=O)N(Cc2nn(-c3ccccc3C#N)c3ccccc23)c2ccccc2N(C(=O)C2CCOCC2)C1C)N(C)C(=O)OC(C)(C)C,train
Boc_deprotection,CC(C)(C)OC(=O)N1CCC2OCCOC2C1,[H+],C1CC2OCCOC2CN1,train
nucleophilic_attack_to_iso(thio)cyanate,COC(=O)C(C(C)C)N1Cc2cc(-c3ccc(N)cc3)ccc2C1=O.FC(F)(F)c1ccccc1N=C=S,,COC(=O)C(C(C)C)N1Cc2cc(-c3ccc(NC(=S)Nc4ccccc4C(F)(F)F)cc3)ccc2C1=O,train
DCC_condensation,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(C(=O)O)cc2)cc(OC)c1.COCCCN,C(=NC1CCCCC1)=NC1CCCCC1,COCCCNC(=O)c1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2cc(OC)cc(OC)c2)cc1,train
SN2_alcohol(thiol),CC(C)(C)C(=O)OCCl.COC(=O)CCC(=O)O,[H-].[Na+],COC(=O)CCC(=O)OCOC(=O)C(C)(C)C,train
O_demethylation,CCC1CCc2c(sc3cc(OC)ccc3c2=O)C1,BrB(Br)Br.O,CCC1CCc2c(sc3cc(O)ccc3c2=O)C1,train
Boc_deprotection,CC(C)(C)OC(=O)NC1CCN(c2cc3[nH]c(Nc4ccccc4C(F)(F)F)nc3cc2C(=O)Nc2ccc3cn[nH]c3c2)CC1,[H+],NC1CCN(c2cc3[nH]c(Nc4ccccc4C(F)(F)F)nc3cc2C(=O)Nc2ccc3cn[nH]c3c2)CC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1cnc(N2CCC(c3ccc(N)cc3)CC2)n1C.CS(=O)(=O)Cl,,Cc1cnc(N2CCC(c3ccc(NS(C)(=O)=O)cc3)CC2)n1C,train
DCC_condensation,O=C1CC2(CCNCC2)Oc2ccc(-c3nnn[nH]3)cc21.COc1cc(C(=O)O)cc(-c2ccc3[nH]ccc3c2)c1,C(=NC1CCCCC1)=NC1CCCCC1,COc1cc(C(=O)N2CCC3(CC2)CC(=O)c2cc(-c4nnn[nH]4)ccc2O3)cc(-c2ccc3[nH]ccc3c2)c1,train
SN2,CCOC(=O)C(Cc1ccc2[nH]c(C)cc2c1)OCC.Cc1oc(-c2ccccc2Cl)nc1CCl,,CCOC(=O)C(Cc1ccc2c(c1)cc(C)n2Cc1nc(-c2ccccc2Cl)oc1C)OCC,train
DCC_condensation,CC1CCCNC1CNc1nc2cc(Cl)ccc2o1.Cc1ccc(-c2cncs2)c(C(=O)O)c1,C(=NC1CCCCC1)=NC1CCCCC1,Cc1ccc(-c2cncs2)c(C(=O)N2CCCC(C)C2CNc2nc3cc(Cl)ccc3o2)c1,train
carbonyl_reduction,CC(=O)c1ccc2c(c1)C(C)(C)CCO2,[BH4-].CO,CC(O)c1ccc2c(c1)C(C)(C)CCO2,train
Boc_deprotection,CC(C)(C)OC(=O)NCCCc1cc(Nc2ccc(Oc3ccnc(C(F)(F)F)c3)cc2)nc(N)n1,[H+],NCCCc1cc(Nc2ccc(Oc3ccnc(C(F)(F)F)c3)cc2)nc(N)n1,train
DCC_condensation,CC(C)(C)c1ccc(C=CC(=O)O)cn1.C=Cc1cc(CN)ccc1NS(C)(=O)=O,C(=NC1CCCCC1)=NC1CCCCC1,C=Cc1cc(CNC(=O)C=Cc2ccc(C(C)(C)C)nc2)ccc1NS(C)(=O)=O,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1ccc(Nc2c(F)cc(F)c(F)c2F)cc1.O=C(Cl)CCl,,Cc1ccc(N(C(=O)CCl)c2c(F)cc(F)c(F)c2F)cc1,train
SN2,COCCNc1cccc(-c2ccc(C(F)(F)F)cc2)c1.CCOC(=O)COc1ccc(CBr)cc1C,,CCOC(=O)COc1ccc(CN(CCOC)c2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1C,train
DCC_condensation,COC1(c2ccc(-c3ccccc3)cc2)CC2C(=O)NC3(C(=O)O)CC3C=CCCCCCC(NC(=O)OC(C)(C)C)C(=O)N2C1.NS(=O)(=O)C1CC1,C(=NC1CCCCC1)=NC1CCCCC1,COC1(c2ccc(-c3ccccc3)cc2)CC2C(=O)NC3(C(=O)NS(=O)(=O)C4CC4)CC3C=CCCCCCC(NC(=O)OC(C)(C)C)C(=O)N2C1,train
SN2_alcohol(thiol),ClCc1cnc(Nc2ccccn2)s1.O=C(NC1CC1)c1ccc(F)c(O)c1,[H-].[Na+],O=C(NC1CC1)c1ccc(F)c(OCc2cnc(Nc3ccccn3)s2)c1,train
SN2,O=c1cc(COC2CCCCO2)occ1OCCCCBr.c1ccc2[nH]ccc2c1,,O=c1cc(COC2CCCCO2)occ1OCCCCn1ccc2ccccc21,train
SNAr(para),N#Cc1ccc(F)c(F)c1.C[S-],,CSc1ccc(C#N)cc1F,train
DCC_condensation,CC(C)(C)c1ccc2nc3sc(C(=O)O)cc3cc2c1.[N-]=[N+]=NCC(N)c1ccccc1,C(=NC1CCCCC1)=NC1CCCCC1,CC(C)(C)c1ccc2nc3sc(C(=O)NC(CN=[N+]=[N-])c4ccccc4)cc3cc2c1,train
SN1,Cc1c(Cc2ccc(O)cc2F)c(OC2(O)OC(CO)C(O)C(O)C2O)nn1C(C)C.CC(C)I,,Cc1c(Cc2ccc(OC(C)C)cc2F)c(OC2(O)OC(CO)C(O)C(O)C2O)nn1C(C)C,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CCOC(=O)COc1ccc2c(c1)CCC(=O)N2.NN,,NNC(=O)COc1ccc2c(c1)CCC(=O)N2,train
SN2,CC(C#N)=C1c2ccc(CBr)cc2COc2cc(F)ccc21.CC(C)c1nc(Cl)c(Cl)[nH]1,,CC(C#N)=C1c2ccc(Cn3c(C(C)C)nc(Cl)c3Cl)cc2COc2cc(F)ccc21,train
SN2,O=[N+](O)c1ccc2[nH]cc(CCCI)c2c1.COc1cnccc1N1CCNCC1,,COc1cnccc1N1CCN(CCCc2c[nH]c3ccc([N+](=O)O)cc23)CC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CNCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC.O=C(Cl)c1ccncc1,,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)C(=O)c1ccncc1,train
DCC_condensation,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Oc1ccc(C(=O)O)cc1.CC(C)(O)CN,C(=NC1CCCCC1)=NC1CCCCC1,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Oc1ccc(C(=O)NCC(C)(C)O)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1ccc(S(=O)(=O)n2cc(S(=O)(=O)Cl)c3cc(F)ccc32)cc1.CNC,,Cc1ccc(S(=O)(=O)n2cc(S(=O)(=O)N(C)C)c3cc(F)ccc32)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C)OC(=O)NCc1ccnc2[nH]ccc12.CS(=O)(=O)Cl,,CC(C)(C)OC(=O)NCc1ccnc2c1ccn2S(C)(=O)=O,train
SNAr(para),CC1COC(c2ccccn2)CN1.Nc1nc(Cl)ccc1[N+](=O)O,,CC1COC(c2ccccn2)CN1c1ccc([N+](=O)O)c(N)n1,train
alcohol_attack_to_carbonyl_or_sulfonyl,O=C(Cl)Oc1ccc([N+](=O)O)cc1.CNC(=O)c1cc(CO)on1,[H-].[Na+],CNC(=O)c1cc(COC(=O)Oc2ccc([N+](=O)O)cc2)on1,train
SN2,CCOP(=O)(CCCCCl)OCC.Cn1c(=O)c2[nH]cnc2n(C)c1=O,,CCOP(=O)(CCCCn1cnc2c1c(=O)n(C)c(=O)n2C)OCC,train
Boc_deprotection,COc1cc2nc(NC3CCN(C(=O)OC(C)(C)C)CC3)nc(OC)c2cc1OC,[H+],COc1cc2nc(NC3CCNCC3)nc(OC)c2cc1OC,train
SNAr(ortho),O=[N+](O)c1ccncc1F.CC(N)CO,,CC(CO)Nc1cnccc1[N+](=O)O,train
ester_reduction,COC(=O)Cc1ccc(Cc2cc(C(F)(F)F)nc(OC3CCCC3)n2)cc1,[AlH4-].[AlH4-].[H+],OCCc1ccc(Cc2cc(C(F)(F)F)nc(OC3CCCC3)n2)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COc1cccc(C(=O)C2CCNCC2)c1.O=C(Cl)c1ccco1,,COc1cccc(C(=O)C2CCN(C(=O)c3ccco3)CC2)c1,train
SN2,O=C(c1ccc2[nH]c3ccccc3c2c1)N1CCCCC1.BrCc1cccnc1,,O=C(c1ccc2c(c1)c1ccccc1n2Cc1cccnc1)N1CCCCC1,train
DCC_condensation,CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)O)cc1Cl.Nc1ccc(Cl)cn1,C(=NC1CCCCC1)=NC1CCCCC1,CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)Nc2ccc(Cl)cn2)cc1Cl,train
SN2,CC(C)(C)OC(=O)NC(CCI)c1ccc(Cl)c(Cl)c1.C[S-],,CSCCC(NC(=O)OC(C)(C)C)c1ccc(Cl)c(Cl)c1,train
SN2_alcohol(thiol),Sc1nc2cc3c(cc2[nH]1)CCC3.Cc1ccc(CCl)nc1,[H-].[Na+],Cc1ccc(CSc2nc3cc4c(cc3[nH]2)CCC4)nc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC1CNc2cc(Br)ccc2N1C(=O)C(F)(F)F.O=C(Cl)C1CC1,,CC1CN(C(=O)C2CC2)c2cc(Br)ccc2N1C(=O)C(F)(F)F,train
SN2,Fc1ccc2[nH]cc(CC3CCNCC3)c2c1.ClCCOc1cccc2[nH]ccc12,,Fc1ccc2[nH]cc(CC3CCN(CCOc4cccc5[nH]ccc45)CC3)c2c1,train
SN2,COC(=O)c1c(CBr)c(=O)c2ccc(Cl)cc2n1-c1ccccc1.CNC(=O)c1ccc(S(C)(=O)=O)cc1,,COC(=O)c1c(CN(C)C(=O)c2ccc(S(C)(=O)=O)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,NC(Cc1ccccc1)C(=O)O.CC(=O)SCC(C)C(=O)Cl,,CC(=O)SCC(C)C(=O)NC(Cc1ccccc1)C(=O)O,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Nc1ccc(F)cc1F,,CC(C)(C)OC(=O)Nc1ccc(F)cc1F,train
DCC_condensation,NC(Cc1ccc(C(F)(F)F)c(F)c1)C(O)c1ccc(F)cc1.O=C(O)c1ccc(F)c2ccccc12,C(=NC1CCCCC1)=NC1CCCCC1,O=C(NC(Cc1ccc(C(F)(F)F)c(F)c1)C(O)c1ccc(F)cc1)c1ccc(F)c2ccccc12,train
DCC_condensation,CN(C)CC(=O)O.CCN,C(=NC1CCCCC1)=NC1CCCCC1,CCNC(=O)CN(C)C,train
SN2,CCOC(=O)C(C)(Cc1ccc(OCCC2CN(Cc3ccc(C(F)(F)F)cc3)C(=O)N2)cc1)Oc1ccccc1.CCI,,CCOC(=O)C(C)(Cc1ccc(OCCC2CN(Cc3ccc(C(F)(F)F)cc3)C(=O)N2CC)cc1)Oc1ccccc1,train
imine_formation,NNC1=Nc2ccc(Br)cc2C(c2ccccc2)=NC1.O=C(CO)CCl,[H+],OCC(CCl)=NNC1=Nc2ccc(Br)cc2C(c2ccccc2)=NC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COC(=O)C1CN(c2cc(F)c(N3C=CS(=O)(=O)CC3)c(F)c2)C(=O)O1.N,,NC(=O)C1CN(c2cc(F)c(N3C=CS(=O)(=O)CC3)c(F)c2)C(=O)O1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1c(Cl)cc(-c2ccc(=O)[nH]n2)cc1Cl.COC(=O)Cl,,COC(=O)n1nc(-c2cc(Cl)c(C)c(Cl)c2)ccc1=O,train
SN2_alcohol(thiol),O=C(Cn1nc(C(F)F)cc1C(F)F)N1CCC(c2nc(C3=NOC(c4ccccc4O)C3)cs2)CC1.C#CCBr,[H-].[Na+],C#CCOc1ccccc1C1CC(c2csc(C3CCN(C(=O)Cn4nc(C(F)F)cc4C(F)F)CC3)n2)=NO1,train
DCC_condensation,COc1ccc2cc(-c3nn(C4CCCCO4)c4ccc(C(=O)O)cc34)ccc2c1.CCN,C(=NC1CCCCC1)=NC1CCCCC1,CCNC(=O)c1ccc2c(c1)c(-c1ccc3cc(OC)ccc3c1)nn2C1CCCCO1,train
SN2_alcohol(thiol),ClCc1nc(-c2cccnc2)c(Br)s1.COC(=O)COc1ccc(O)cc1C,[H-].[Na+],COC(=O)COc1ccc(OCc2nc(-c3cccnc3)c(Br)s2)cc1C,train
SN2,CC1(C)NN(C2C3CC4CC(C3)CC2C4)C1=O.Cc1cccc(CBr)c1,,Cc1cccc(CN2N(C3C4CC5CC(C4)CC3C5)C(=O)C2(C)C)c1,train
SN2,Fc1ccc(NC(=S)[S-])c(F)c1F.O=C(CCl)CCl,,O=C(CCl)CSC(=S)Nc1ccc(F)c(F)c1F,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C)OC(=O)COc1cccc(CNCc2ccc(-n3cccn3)cc2)c1.O=S(=O)(Cl)c1cccc(F)c1,,CC(C)(C)OC(=O)COc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccc(F)c2)c1,train
O_demethylation,COc1ccc2cc(S(=O)(=O)N3CCN(C(=O)c4ccc(CN(C(C)C)C(C)C)cc4)CC3)ccc2c1,BrB(Br)Br.O,CC(C)N(Cc1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(O)ccc4c3)CC2)cc1)C(C)C,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COC(=O)c1cc2nc(Nc3c(C)cccc3Cl)[nH]c2c2c1OC(C)(C)C2.Nc1cc(F)c(F)cc1F,,Cc1cccc(Cl)c1Nc1nc2cc(C(=O)Nc3cc(F)c(F)cc3F)c3c(c2[nH]1)CC(C)(C)O3,train
DCC_condensation,Cc1nn(C)c(C(=O)O)c1C(F)(F)F.N,C(=NC1CCCCC1)=NC1CCCCC1,Cc1nn(C)c(C(N)=O)c1C(F)(F)F,train
DCC_condensation,O=C(O)c1cnc2ccc(Cl)cc2c1Cl.CNOC,C(=NC1CCCCC1)=NC1CCCCC1,CON(C)C(=O)c1cnc2ccc(Cl)cc2c1Cl,train
O_demethylation,CCN1CCCC1CNC(=O)c1c(OC)c(Cl)cc(Cl)c1OC,BrB(Br)Br.O,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,train
